Data da Compra,Produto,Preco Original/Preco com Desconto,Fornecedor,Qtd. Comprada,Comprador,Nome Gerente,Sobrenome Gerente,Região Destino,
1/2/2020,Rádio,"16,89/16,89",Hashtag Toys,1,"Butler, Noah",Kleon,Sheerman,Brasil - RJ,
1/2/2020,Aparelho de Som,43/43,Hashtag Toys,1,"Zhu, Eugene",Tamra,Done,Brasil - SP,
1/2/2020,Aparelho de Som,"31,39/31,39",Hashtag Toys,1,"Ortega, Tyrone",Harli,Drage,Brasil - SP,
1/2/2020,Ventilador,"70,13/70,13",Hashtag Toys,3,"Zhu, Gilbert",Rita,Wardlaw,Brasil - RJ,
1/2/2020,Rádio,"8,88/8,79",Southridge Video,1,"Ward, Brooke",Darell,Brougham,Brasil - SP,
1/2/2020,Rádio,"8,88/8,44",Southridge Video,4,"Huang, Alan",Johnnie,Clineck,Brasil - RJ,
1/2/2020,Rádio,"8,88/8,88",Southridge Video,1,"Perez, Dominique",Patrizio,Botger,Brasil - SP,
1/2/2020,Gravador,"8,88/8,88",Southridge Video,1,"Vazquez, Diane",Stesha,Petschel,Brasil - ES,
1/2/2020,Gravador,"8,88/8,44",Southridge Video,5,"She, Katie",Nari,Alejandro,Brasil - RJ,
1/2/2020,Projetor,"126,9/124,36",Southridge Video,5,"Sara, Edgar",#N,D,Brasil - RJ,
1/2/2020,Projetor,"126,9/96,44",Southridge Video,1,"Prasad, Meredith",Linnie,Badrick,Brasil - ES,
1/2/2020,Projetor,"126,9/126,9",Southridge Video,1,"Navarro, Roy",Carver,Mcblain,Brasil - SP,
1/2/2020,Projetor,"126,9/126,9",Southridge Video,1,"Mehta, Kari",Gertrude,Curry,Brasil - SP,
1/2/2020,Monitor,"126,9/104,06",Southridge Video,5,"Tang, Nicolas",Atlanta,Skala,Brasil - RJ,
1/2/2020,Monitor,"126,9/120,56",Southridge Video,3,"Clark, Ashley",Egor,Ciottoi,Brasil - ES,
1/2/2020,Monitor,"126,9/87,56",Southridge Video,1,"Moreno, Alfredo",Elbertina,Zoephel,Brasil - RJ,
1/2/2020,Monitor,"126,9/112,94",Southridge Video,4,"Torres, Stephanie",Cynde,Toffolo,Brasil - BA,
1/2/2020,Monitor,"126,9/126,9",Southridge Video,1,"Carter, Caleb",Alica,Cruikshank,Brasil - SP,
1/2/2020,Monitor,"126,9/126,9",Southridge Video,5,"Perez, Erick",Nerty,Rope,Brasil - SP,
1/2/2020,Projetor,"126,9/79,95",Southridge Video,1,"Simmons, Melanie",Trixi,Burwin,Brasil - SP,
1/2/2020,Monitor,"126,9/126,9",Southridge Video,1,"Russell, Samantha",Rourke,Cyson,Brasil - SP,
1/2/2020,Projetor,"126,9/81,22",Southridge Video,5,"Li, Todd",Gualterio,Hamel,Brasil - SP,
1/2/2020,Projetor,"126,9/126,9",Southridge Video,1,"Chavez, Marshall",Rose,Pallaske,Brasil - MA,
1/2/2020,Monitor,"126,9/126,9",Southridge Video,3,"Williams, James",Timmie,Licence,Brasil - SP,
1/3/2020,Lâmpada,25/25,Contoso,2,"Subram, Kristina",Durand,Brydie,Brasil - RJ,
1/3/2020,Geladeira,"299/278,07",Contoso,1,"Zhao, Willie",Cindy,Leverton,Brasil - SP,
1/3/2020,Rádio,"16,99/13,25",Southridge Video,1,"Ortega, Nelson",Elbertine,Allwood,Brasil - SP, 
1/3/2020,Ar Condicionado,"595/517,65",Contoso,1,"Morris, Catherine",Martin,Oakland,Brasil - SP,
1/3/2020,Lâmpada,595/595,Contoso,1,"Cook, Amanda",Deloris,Guys,Brasil - SP,
1/3/2020,Lâmpada,595/595,Southridge Video,1,"Hernandez, Meghan",Homere,Chestnut,Brasil - ES,
1/3/2020,Lâmpada,25/25,Contoso,5,"Wood, Mariah",Wilden,Mccaull,Brasil - RJ,
1/3/2020,Gravador,"6,99/4,68",Southridge Video,3,"Gill, Audrey",Carlos,Portela,Brasil - SP,
1/3/2020,Rádio,"16,99/11,55",Southridge Video,4,"Goel, Leonard",Erskine,Ochterlony,Brasil - SP,
1/3/2020,Microondas,329/329,Contoso,4,"Vance, Pedro",Sutton,Dando,Brasil - SP, 
1/3/2020,Geladeira,329/329,Contoso,1,"Alvarez, Andy",Llewellyn,Siggers,Brasil - BA,
1/3/2020,Aparelho de Som,34/34,Hashtag Toys,4,"Carter, Isaac",Starlin,Tatum,Brasil - RJ,
1/3/2020,Aparelho de Som,34/34,Hashtag Toys,1,"Barnes, Marcus",Burg,Birchwood,Brasil - SP,
1/3/2020,Aparelho de Som,"32/31,68",Hashtag Toys,3,"Martinez, Virginia",Gordy,Aleksic,Brasil - SP,
1/3/2020,Ventilador,"109/69,76",Hashtag Toys,1,"Nara, Barbara",Joli,Simenon,Brasil - RJ,
1/3/2020,Aparelho de Som,"109/70,85",Hashtag Toys,5,"Hu, Leah",Knox,Nottle,Brasil - RJ, 
1/3/2020,Rádio,"6,99/6,99",Southridge Video,5,"Martinez, Pamela",Claude,Marcoolyn,Brasil - RJ,
1/3/2020,Gravador,"4,99/4,24",Hashtag Toys,1,"Moreno, Marc",Jeremy,Bickell,Brasil - SP,
1/3/2020,Lâmpada,25/25,Contoso,1,"Navarro, Theresa",Skylar,Mcness,Brasil - ES,
1/3/2020,Lâmpada,25/25,Contoso,1,"Goel, Mario",Waldemar,Winchcomb,Brasil - SP,
1/3/2020,Gravador,"16,89/16,89",Hashtag Toys,3,"Raje, Bonnie",Rochell,Yersin,Brasil - SP,
1/3/2020,Ar Condicionado,595/595,Contoso,1,"Liang, Louis",Aurlie,Brownstein,Brasil - SP,
1/3/2020,Monitor,"126,9/126,9",Southridge Video,1,"Patel, Jillian",Nora,Down,Brasil - ES,
1/3/2020,Monitor,"126,9/102,79",Southridge Video,1,"Zhang, Clarence",Krysta,Doudney,Brasil - SP,
1/3/2020,Projetor,"126,9/93,91",Southridge Video,2,"Morris, Adrian",Guilherme,Marchesi,Brasil - RJ,
1/3/2020,Projetor,"126,9/126,9",Southridge Video,3,"Xu, Mitchell",Margy,Templar,Brasil - SP,
1/3/2020,Projetor,"126,9/126,9",Southridge Video,7,"King, Richard",Ahmed,Haime,Brasil - BA,
1/3/2020,Projetor,"126,9/126,9",Southridge Video,1,"Suarez, Jay",Carmelina,Harvatt,Brasil - SP,
1/3/2020,Ar Condicionado,"126,9/126,9",Southridge Video,3,"Gomez, Joy",#N,D,Brasil - RJ,
1/3/2020,Projetor,"126,9/100,25",Southridge Video,4,"Schmidt, Kristina",Waylin,Amyes,Brasil - ES,
1/3/2020,Monitor,"126,9/126,9",Southridge Video,1,"Wilson, Christopher",Ian,Almeida,Brasil - RJ,
1/3/2020,Ar Condicionado,"126,9/104,06",Southridge Video,1,"Jai, Barbara",Mikey,Penrice,Brasil - RJ,
1/3/2020,Monitor,"126,9/83,75",Southridge Video,2,"Watson, Brooke",Marissa,Schneidar,Brasil - SP,
1/3/2020,Monitor,"126,9/78,68",Southridge Video,3,"Henderson, Devin",Caroline,Cavalcanti,Brasil - ES,
1/3/2020,Projetor,"126,9/126,9",Southridge Video,1,"Gill, Robyn",Klement,Ackwood,Brasil - SP,
1/3/2020,Monitor,"126,9/81,22",Southridge Video,1,"Johnson, Emily",Matilde,Husher,Brasil - RJ,
1/4/2020,Lâmpada,595/595,Contoso,1,"Suarez, Janet",Scotty,Norewood,Brasil - RJ,
1/4/2020,Ar Condicionado,"595/416,5",Contoso,1,"Evans, Lucas",Raimondo,Smithe,Brasil - ES,
1/4/2020,Ar Condicionado,25/25,Southridge Video,1,"Ma, Heather",Marjorie,Josephs,Brasil - ES,
1/4/2020,Projetor,66/66,Southridge Video,1,"Robinett, David",Ted,Junkinson,Brasil - RJ,
1/4/2020,Monitor,"66/52,14",Southridge Video,1,"Martinez, Francisco",Karin,Wimmer,Brasil - SP,
1/4/2020,Ventilador,"70,13/62,42",Hashtag Toys,1,"Deng, Lindsey",Bernie,Sliman,Brasil - RJ,
1/4/2020,Ventilador,"72,45/72,45",Hashtag Toys,1,"Malhotra, Evelyn",Erich,Moff,Brasil - MA,
1/4/2020,Gravador,"8,99/8,99",Hashtag Toys,1,"He, Tiffany",Vladamir,Frie,Brasil - SP,
1/4/2020,Gravador,"16,99/16,99",Southridge Video,1,"Munoz, Randall",Devina,Slaten,Brasil - ES,
1/4/2020,Lâmpada,595/595,Southridge Video,1,"Hughes, Thomas",Xenos,Holtaway,Brasil - SP,
1/4/2020,Ar Condicionado,595/595,Contoso,1,"Simmons, Sarah",Barnaby,Caselli,Brasil - ES,
1/4/2020,Lâmpada,"595/446,25",Contoso,2,"Foster, Amanda",Ole,Brick,Brasil - RJ,
1/4/2020,Gravador,"8,99/7,91",Hashtag Toys,4,"Patterson, Carson",Goran,Butland,Brasil - SP,
1/4/2020,Gravador,"4,98/4,78",Southridge Video,3,"Hill, Rebecca",Helena,Surridge,Brasil - ES,
1/4/2020,Gravador,"4,99/4,99",Hashtag Toys,3,"Hill, Caleb",Karlens,Smogur,Brasil - BA,
1/4/2020,Gravador,"4,99/4,99",Hashtag Toys,1,"Simmons, Julia",Ewen,Kielt,Brasil - SP,
1/4/2020,Gravador,"6,99/6,99",Hashtag Toys,1,"Ross, Jessica",Raul,Demke,Brasil - ES,
1/4/2020,Aparelho de Som,"70,13/70,13",Hashtag Toys,4,"Henderson, Megan",Salvatore,Haggath,Brasil - BA,
1/4/2020,Microondas,"299,9/227,92",Litware ,4,"Ye, Ramon",Ransell,Klugman,Brasil - SP,
1/4/2020,Rádio,"6,99/6,99",Hashtag Toys,5,"Weber, Deanna",Jessie,Goldine,Brasil - RJ,
1/4/2020,Rádio,"16,89/16,89",Hashtag Toys,1,"Wu, Aimee",Laís,Oliveira,Brasil - RJ,
1/4/2020,Rádio,"16,89/16,89",Hashtag Toys,1,"Tang, Wayne",Marti,Munks,Brasil - SP,
1/4/2020,Projetor,"126,9/83,75",Southridge Video,5,"Sun, Jaclyn",Valera,Saphir,Brasil - ES,
1/4/2020,Monitor,"126,9/126,9",Southridge Video,5,"Zhang, Willie",Beaufort,Theaker,Brasil - SP,
1/4/2020,Projetor,"126,9/126,9",Southridge Video,1,"Jones, Nathan",Phillie,Harmes,Brasil - BA,
1/4/2020,Monitor,"126,9/126,9",Southridge Video,1,"Carlson, Philip",Archy,Tradewell,Brasil - SP,
1/4/2020,Projetor,"126,9/126,9",Southridge Video,1,"Diaz, Eduardo",Jephthah,Lutz,Brasil - SP,
1/4/2020,Ar Condicionado,"126,9/126,9",Southridge Video,1,"Luo, Karla",Eduard,Methingam,Brasil - RJ,
1/4/2020,Ar Condicionado,"126,9/126,9",Southridge Video,1,"Sanchez, Ruben",Tilda,Jurisic,Brasil - RJ,
1/4/2020,Projetor,"126,9/126,9",Southridge Video,3,"Rogers, Ariana",Nanine,Arkcoll,Brasil - SP,
1/4/2020,Monitor,"126,9/126,9",Southridge Video,3,"Beck, Brad",Nelle,Yegorov,Brasil - SP,
1/4/2020,Monitor,"126,9/96,44",Southridge Video,1,"Mehta, Kari",Freddy,Wissbey,Brasil - ES,
1/4/2020,Monitor,"126,9/95,18",Southridge Video,1,"Russell, Angela",Cyndi,Cockerton,Brasil - ES,
1/4/2020,Monitor,"126,9/86,29",Southridge Video,2,"Baker, Jordan",Sofie,Punshon,Brasil - SP,
1/4/2020,Ar Condicionado,"126,9/126,9",Southridge Video,5,"Powell, Haley",Brigit,Agirre,Brasil - RJ,
1/4/2020,Projetor,"126,9/126,9",Southridge Video,3,"Bryant, Austin",Ivor,Lenham,Brasil - RJ,
1/4/2020,Monitor,"126,9/126,9",Southridge Video,1,"Cox, Megan",Mariejeanne,Gilhespy,Brasil - RJ,
1/4/2020,Ar Condicionado,"126,9/126,9",Southridge Video,1,"Yuan, Nina",Cheston,Skates,Brasil - RJ,
1/5/2020,Lâmpada,595/595,Contoso,1,"Subram, Kristina",Ring,Greenhalf,Brasil - SP,
1/5/2020,Ar Condicionado,25/25,Contoso,1,"Xie, Bonnie",Grange,Alejandre,Brasil - RJ,
1/5/2020,Ar Condicionado,25/25,Contoso,4,"Gill, Marvin",Cart,Duckitt,Brasil - SP,
1/5/2020,Rádio,"4,99/3,59",Hashtag Toys,3,"Sanchez, Brandy",Ora,Batte,Brasil - SP,
1/5/2020,Projetor,"109/74,12",Southridge Video,3,"Gutierrez, Jimmy",Lyn,Whines,Brasil - RJ,
1/5/2020,Gravador,"8,88/8,88",Southridge Video,2,"Raje, Tommy",Moyna,Fugere,Brasil - SP,
1/5/2020,Lâmpada,"595/464,1",Contoso,1,"Kelly, Chase",Dorice,Furze,Brasil - SP,
1/5/2020,Ar Condicionado,595/595,Contoso,3,"Rogers, Jade",Ramsay,Longworthy,Brasil - SP,
1/5/2020,Ar Condicionado,595/595,Contoso,5,"Chapman, Nancy",Gualterio,Fannon,Brasil - RJ,
1/5/2020,Ar Condicionado,595/595,Contoso,1,"Foster, Marissa",Graeme,Casse,Brasil - SP,
1/5/2020,Rádio,"4,98/4,98",Southridge Video,1,"Roberts, Katelyn",Corny,Gillanders,Brasil - SP,
1/5/2020,Gravador,"4,98/4,98",Southridge Video,1,"Li, Rosa",Arvie,Spurdens,Brasil - MA,
1/5/2020,Lâmpada,68/68,Contoso,1,"Carter, Amanda",Rollie,Bett,Brasil - SP,
1/5/2020,Lâmpada,25/25,Contoso,1,"King, Jordan",Cyndy,Normavill,Brasil - SP,
1/5/2020,Microondas,199/199,Contoso,1,"Green, Adam",Heindrick,Padkin,Brasil - SP,
1/5/2020,Rádio,"16,89/16,89",Hashtag Toys,4,"Wu, Laura",Nadean,Frediani,Brasil - RJ,
1/5/2020,Rádio,"8,88/8,88",Southridge Video,4,"Blanco, Erika",Essa,Roden,Brasil - SP,
1/5/2020,Projetor,"126,9/112,94",Southridge Video,1,"Alvarez, Erik",Judas,Dorian,Brasil - BA,
1/5/2020,Monitor,"126,9/126,9",Southridge Video,4,"Robinson, Olivia",Towney,Landsberg,Brasil - ES,
1/5/2020,Projetor,"126,9/79,95",Southridge Video,1,"Martinez, Samantha",Brande,Durie,Brasil - SP,
1/5/2020,Monitor,"126,9/126,9",Southridge Video,3,"Sun, Amy",Amii,Kearley,Brasil - SP,
1/5/2020,Monitor,"126,9/116,75",Southridge Video,2,"Hayes, Spencer",Sharity,Pragnall,Brasil - BA,
1/5/2020,Monitor,"126,9/126,9",Southridge Video,1,"Russell, Jasmine",Town,Morter,Brasil - SP,
1/5/2020,Monitor,"126,9/126,9",Southridge Video,2,"Russell, Samuel",Raphael,Filho,Brasil - SP,
1/5/2020,Monitor,"126,9/126,9",Southridge Video,1,"Allen, Gabriel",Rooney,Mack,Brasil - SP,
1/5/2020,Projetor,"126,9/118,02",Southridge Video,1,"Butler, Jeremy",Hale,Bigg,Brasil - SP,
1/5/2020,Ar Condicionado,"126,9/85,02",Southridge Video,5,"Mitchell, Seth",Godfrey,Baldetti,Brasil - RJ,
1/5/2020,Projetor,"126,9/126,9",Southridge Video,1,"Davis, Daniel",Lionel,Roxburch,Brasil - RJ,
1/5/2020,Microondas,569/569,Litware,2,"Adams, Morgan",Tad,Ilett,Brasil - ES,
1/5/2020,Geladeira,"269,9/269,9",Litware ,1,"Lopez, Jermaine",Regan,Edinburough,Brasil - RJ,
1/5/2020,Microondas,"299,9/296,9",Litware ,4,"Yuan, Deborah",Isadora,Fassman,Brasil - SP,
1/6/2020,Lâmpada,595/595,Contoso,1,"Collins, Gabriella",Nadya,Ades,Brasil - ES,
1/6/2020,Lâmpada,"595/464,1",Southridge Video,1,"She, Dennis",Nari,Grigorian,Brasil - SP,
1/6/2020,Ar Condicionado,"595/571,2",Contoso,1,"Gutierrez, Andy",Raynor,Livett,Brasil - SP,
1/6/2020,Ar Condicionado,25/25,Contoso,1,"Mehta, Ruth",Marchall,Starte,Brasil - SP,
1/6/2020,Rádio,"8,88/8,79",Southridge Video,1,"Shen, Chad",Miguel,Shilvock,Brasil - RJ,
1/6/2020,Rádio,"8,88/8,88",Southridge Video,1,"Zhu, Karen",Yorgos,Salmon,Brasil - ES,
1/6/2020,Lâmpada,"595/428,4",Contoso,1,"Rivera, Chloe",#N,D,Brasil - SP,
1/6/2020,Lâmpada,595/595,Contoso,1,"Hill, Caleb",Aliza,Reynold,Brasil - SP,
1/6/2020,Ar Condicionado,595/595,Contoso,3,"Jenkins, Trevor",Pembroke,Marion,Brasil - ES,
1/6/2020,Gravador,"16,89/16,89",Hashtag Toys,1,"Fernandez, Evelyn",#N,D,Brasil - SP,
1/6/2020,Gravador,"4,98/4,08",Southridge Video,1,"Schmidt, Kari",Lonee,Crosfield,Brasil - SP,
1/6/2020,Rádio,"4,99/4,99",Hashtag Toys,5,"Powell, Cassidy",Dillon,Fechnie,Brasil - SP,
1/6/2020,Microondas,409/409,Contoso,5,"Stewart, Jennifer",Wanda,Bresnen,Brasil - RJ,
1/6/2020,Aparelho de Som,"89/56,96",Hashtag Toys,1,"Coleman, Julia",Danika,Breakspear,Brasil - RJ,
1/6/2020,Ventilador,32/32,Hashtag Toys,4,"Zhao, Barbara",Adel,Syncke,Brasil - SP,
1/6/2020,Microondas,329/329,Contoso,1,"Zhang, Cara",Dori,Jickles,Brasil - SP,
1/6/2020,Gravador,"4,98/4,98",Southridge Video,1,"Rubio, Kathleen",Caril,Dohmer,Brasil - SP,
1/6/2020,Gravador,"4,99/4,99",Hashtag Toys,1,"Green, Alex",Hedvig,Coysh,Brasil - RJ,
1/6/2020,Projetor,"126,9/126,9",Southridge Video,2,"Deng, Johnny",Renate,Magrannell,Brasil - SP,
1/6/2020,Monitor,"126,9/101,52",Southridge Video,4,"Nath, Nichole",Lilah,Danbye,Brasil - SP,
1/6/2020,Monitor,"126,9/93,91",Southridge Video,1,"Perez, Andre",Rozalie,Shutte,Brasil - ES,
1/6/2020,Monitor,"126,9/124,36",Southridge Video,5,"Goel, Kurt",Vitia,Dossantos,Brasil - ES,
1/6/2020,Projetor,"126,9/86,29",Southridge Video,5,"Sanchez, Holly",Shanta,Shall,Brasil - ES,
1/6/2020,Projetor,"126,9/126,9",Southridge Video,1,"Anderson, Zachary",Letta,Mogenot,Brasil - SP,
1/6/2020,Monitor,"126,9/126,9",Southridge Video,4,"Li, Todd",Maria,Moita,Brasil - SP,
1/6/2020,Projetor,"126,9/107,87",Southridge Video,1,"Turner, Amber",Sebastian,Girling,Brasil - SP,
1/6/2020,Monitor,"126,9/126,9",Southridge Video,2,"Griffin, Jose",Carleen,Simonard,Brasil - SP,
1/6/2020,Projetor,"126,9/126,9",Southridge Video,1,"Wilson, Kaitlyn",Larissa,Cruz,Brasil - SP,
1/6/2020,Monitor,"126,9/126,9",Southridge Video,1,"Bryant, Carson",Blake,Pohls,Brasil - SP,
1/6/2020,Projetor,"126,9/126,9",Southridge Video,1,"Ramirez, Angel",#N,D,Brasil - SP,
1/6/2020,Sistema Audivisual para Carro,"149,95/149,95",Wide World Importers,1,"White, Jacob",Gusti,Foyster,Brasil - SP,
1/6/2020,Geladeira,"269,9/269,9",Litware ,1,"Sai, Joel",Jeanette,Rubery,Brasil - SP,
1/6/2020,Microondas,"299,9/275,91",Litware ,3,"Ward, Amanda",Bartholomeus,Burberow,Brasil - SP,
1/6/2020,Acessórios de TV e Áudio,"149,95/149,95",Wide World Importers,1,"White, Jacob",Denice,Grigorio,Brasil - SP,
1/7/2020,Ventilador,"73,39/73,39",Hashtag Toys,1,"Kapoor, Ronald",Angelika,Mitchard,Brasil - SP,
1/7/2020,Lâmpada,"595/434,35",Contoso,1,"Nara, Alejandro",Cybil,Dixson,Brasil - SP,
1/7/2020,Lâmpada,25/25,Southridge Video,1,"Andersen, Kristin",Ardyce,Danihel,Brasil - SP,
1/7/2020,Lâmpada,25/25,Southridge Video,1,"Sai, Cindy",Basilio,Rickarsey,Brasil - SP,
1/7/2020,Ventilador,109/109,Hashtag Toys,1,"Sanchez, Melanie",Artie,Rustich,Brasil - SP,
1/7/2020,Aparelho de Som,"73,39/46,24",Hashtag Toys,1,"Sanchez, Meagan",Sharron,Shemilt,Brasil - SP,
1/7/2020,Aparelho de Som,28/28,Hashtag Toys,2,"Xu, Jamie",Josiah,Huggin,Brasil - SP,
1/7/2020,Gravador,"6,99/4,89",Hashtag Toys,2,"Nara, Russell",Jacqui,Valenta,Brasil - SP,
1/7/2020,Gravador,"8,99/8,99",Hashtag Toys,1,"Prasad, Whitney",Giorgia,Gillson,Brasil - RJ,
1/7/2020,Gravador,"8,99/8,81",Hashtag Toys,3,"Chander, Dale",Shurlock,Macdonell,Brasil - ES,
1/7/2020,Rádio,"8,99/8,99",Hashtag Toys,1,"Luo, Jenny",Phip,Claasen,Brasil - RJ,
1/7/2020,Ar Condicionado,"595/577,15",Contoso,2,"Adams, Kaitlyn",#N,D,Brasil - SP,
1/7/2020,Rádio,"16,89/16,89",Hashtag Toys,3,"Jai, Mindy",Ly,Cubbinelli,Brasil - SP,
1/7/2020,Gravador,"16,89/12,16",Hashtag Toys,1,"Baker, Savannah",Burgess,Klug,Brasil - RJ,
1/7/2020,Ventilador,"77,68/77,68",Hashtag Toys,1,"Chandra, Brandy",Salli,Rabson,Brasil - RJ,
1/7/2020,Lâmpada,25/25,Contoso,3,"Tang, Maurice",Consuelo,Ashenhurst,Brasil - SP,
1/7/2020,Laptop,445/445,Contoso,2,"Lee, Jasmine",Mathian,Gover,Brasil - SP,
1/7/2020,Gravador,"4,99/4,99",Hashtag Toys,1,"Alonso, Alfredo",Kizzee,Ollenbuttel,Brasil - RJ,
1/7/2020,Rádio,"4,99/4,79",Hashtag Toys,2,"Jiménez, Orlando",Bradley,Braunstein,Brasil - SP,
1/7/2020,Ar Condicionado,595/595,Contoso,5,"Liu, Brittney",Aldridge,Frusher,Brasil - RJ,
1/7/2020,Projetor,"126,9/126,9",Southridge Video,1,"Arthur, Cassandra",Bob,Scrigmour,Brasil - SP,
1/7/2020,Monitor,"126,9/126,9",Southridge Video,1,"Ross, Noah",Arny,Losselyong,Brasil - RJ,
1/7/2020,Projetor,"126,9/126,9",Southridge Video,3,"Suarez, Jill",Trude,Worsam,Brasil - SP,
1/7/2020,Monitor,"126,9/126,9",Southridge Video,2,"Subram, Meagan",Eddi,Macuchadair,Brasil - SP,
1/7/2020,Projetor,"126,9/126,9",Southridge Video,1,"Pal, Jaclyn",Reed,Grannell,Brasil - SP,
1/7/2020,Projetor,"126,9/126,9",Southridge Video,1,"Jordan, Cindy",Garek,Pietranek,Brasil - SP,
1/7/2020,Monitor,"126,9/81,22",Southridge Video,1,"He, Ronnie",Marci,Coaten,Brasil - SP,
